model	task	config	metric	stock	traced	parity
EleutherAI/pythia-160m	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
allenai/OLMo-2-0425-1B	gsm8k	hf-traced	exact_match,flexible-extract	0.28	0.28	EQUAL
allenai/OLMo-2-0425-1B	gsm8k	hf-traced	exact_match,strict-match	0.28	0.28	EQUAL
allenai/OLMo-2-0425-1B	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
allenai/OLMo-2-0425-1B	triviaqa	hf-traced	exact_match,remove_whitespace	0.245	0.245	EQUAL
allenai/OLMo-2-0425-1B	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
HuggingFaceTB/SmolLM3-3B	gsm8k	hf-traced	exact_match,flexible-extract	0.675	0.675	EQUAL
HuggingFaceTB/SmolLM3-3B	gsm8k	hf-traced	exact_match,strict-match	0.3	0.3	EQUAL
HuggingFaceTB/SmolLM3-3B	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
HuggingFaceTB/SmolLM3-3B	triviaqa	hf-traced	exact_match,remove_whitespace	0.17	0.17	EQUAL
HuggingFaceTB/SmolLM3-3B	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
unsloth/gemma-2-2b	gsm8k	hf-traced	exact_match,flexible-extract	0.235	0.235	EQUAL
unsloth/gemma-2-2b	gsm8k	hf-traced	exact_match,strict-match	0.235	0.235	EQUAL
unsloth/gemma-2-2b	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
unsloth/gemma-2-2b	triviaqa	hf-traced	exact_match,remove_whitespace	0.365	0.365	EQUAL
unsloth/gemma-2-2b	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	gsm8k	hf-traced	exact_match,flexible-extract	0.81	0.81	EQUAL
microsoft/Phi-3-mini-4k-instruct	gsm8k	hf-traced	exact_match,strict-match	0.805	0.805	EQUAL
microsoft/Phi-3-mini-4k-instruct	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	triviaqa	hf-traced	exact_match,remove_whitespace	0.04	0.04	EQUAL
microsoft/Phi-3-mini-4k-instruct	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	gsm8k	hf-traced	exact_match,flexible-extract	0.005	0.005	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	gsm8k	hf-traced	exact_match,strict-match	0.0	0.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	triviaqa	hf-traced	exact_match,remove_whitespace	0.0	0.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	gsm8k	hf-traced	exact_match,flexible-extract	0.0	0.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	gsm8k	hf-traced	exact_match,strict-match	0.0	0.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	gsm8k	hf-traced	sample_len	200.0	200.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	triviaqa	hf-traced	exact_match,remove_whitespace	0.0	0.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	triviaqa	hf-traced	sample_len	200.0	200.0	EQUAL
